Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'BUSINESS' Selected Category Scheme: WoS,,,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Eigenfactor Score
1,Academy of Management Annals,1941-6520,"4,250",11.865,11.673,17.833,0.009530
2,ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,"11,864",10.750,10.500,11.035,0.007710
3,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,"15,273",9.158,6.693,9.977,0.007540
4,JOURNAL OF MANAGEMENT,0149-2063,"24,234",8.880,8.612,11.847,0.022000
5,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,1460-8545,"4,478",8.631,8.431,9.896,0.004000
6,ACADEMY OF MANAGEMENT REVIEW,0363-7425,"35,980",8.413,7.873,12.440,0.010000
7,ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,"19,233",8.391,7.804,9.880,0.008020
8,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,"13,101",7.959,7.388,12.500,0.007450
9,JOURNAL OF BUSINESS VENTURING,0883-9026,"12,663",7.590,6.807,10.873,0.008090
10,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,"40,902",7.571,7.068,11.853,0.028900
11,JOURNAL OF SERVICE RESEARCH,1094-6705,"5,274",6.382,5.709,9.211,0.003640
12,JOURNAL OF ADVERTISING,0091-3367,"4,781",6.302,5.190,5.693,0.002970
13,JOURNAL OF CONSUMER RESEARCH,0093-5301,"22,942",6.207,5.519,7.366,0.012320
14,Strategic Entrepreneurship Journal,1932-4391,"1,938",6.200,5.844,6.128,0.002240
15,Journal of Innovation & Knowledge,2530-7614,349,6.027,5.811,5.125,0.000390
16,JOURNAL OF RETAILING,0022-4359,"7,995",5.873,5.238,7.373,0.004120
17,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,0040-1625,"13,607",5.846,4.961,5.179,0.016200
18,HARVARD BUSINESS REVIEW,0017-8012,"17,974",5.700,5.700,6.856,0.013550
19,Business Strategy and the Environment,0964-4733,"5,409",5.483,3.824,6.221,0.002590
20,STRATEGIC MANAGEMENT JOURNAL,0143-2095,"35,339",5.471,4.897,7.859,0.026500
21,JOURNAL OF MARKETING,0022-2429,"26,949",5.266,4.809,9.917,0.009100
22,Family Business Review,0894-4865,"3,252",5.212,4.152,6.060,0.001540
23,JOURNAL OF WORLD BUSINESS,1090-9516,"5,719",5.194,4.698,6.774,0.005530
24,Academy of Management Perspectives,1558-9080,"3,187",5.098,4.976,7.714,0.004160
25,JOURNAL OF INTERACTIVE MARKETING,1094-9968,"3,890",5.097,4.726,8.008,0.002790
26,JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,"12,953",5.026,4.858,6.842,0.010790
27,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,"7,175",5.000,4.417,7.057,0.005500
28,JOURNAL OF MANAGEMENT STUDIES,0022-2380,"12,106",4.888,4.719,7.493,0.007860
29,JOURNAL OF BUSINESS RESEARCH,0148-2963,"28,945",4.874,4.259,5.484,0.023390
30,Journal of Intellectual Capital,1469-1930,"2,821",4.805,3.184,Not Available,0.000540
31,SMALL BUSINESS ECONOMICS,0921-898X,"8,307",4.803,4.227,5.377,0.006890
32,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,1359-8546,"5,093",4.725,3.971,7.207,0.002820
33,Internet Research,1066-2243,"2,859",4.708,3.108,5.355,0.002190
34,INDUSTRIAL MARKETING MANAGEMENT,0019-8501,"11,205",4.695,3.753,5.868,0.006710
35,JOURNAL OF MARKETING RESEARCH,0022-2437,"22,396",4.626,4.358,6.542,0.012010
36,JOURNAL OF INTERNATIONAL MARKETING,1069-031X,"2,638",4.575,3.250,6.470,0.001380
37,Corporate Social Responsibility and Environmental Management,1535-3958,"3,173",4.542,2.903,5.485,0.001330
38,Journal of Hospitality Marketing & Management,1936-8623,"1,764",4.489,3.777,Not Available,0.001170
39,Journal of Retailing and Consumer Services,0969-6989,"5,639",4.219,3.387,Not Available,0.004790
40,JOURNAL OF BUSINESS ETHICS,0167-4544,"31,850",4.141,3.760,5.455,0.019720
41,Business & Society,0007-6503,"2,915",4.074,3.827,4.652,0.002040
42,LONG RANGE PLANNING,0024-6301,"5,229",4.041,3.634,4.844,0.002400
43,International Business Review,0969-5931,"5,405",3.953,3.484,4.373,0.004110
44,Journal of Family Business Strategy,1877-8585,"1,121",3.927,3.000,5.857,0.001320
45,CALIFORNIA MANAGEMENT REVIEW,0008-1256,"5,801",3.909,3.782,6.511,0.002640
46,Electronic Commerce Research and Applications,1567-4223,"2,781",3.824,3.151,4.300,0.002080
47,International Small Business Journal-Researching Entrepreneurship,0266-2426,"3,374",3.756,3.333,5.377,0.002520
48,Journal of Competitiveness,1804-171X,565,3.649,3.243,Not Available,0.000240
49,International Journal of Advertising,0265-0487,"2,198",3.606,2.479,4.127,0.002380
