Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'LAW' Selected Category Scheme: WoS,,,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Eigenfactor Score
1,HARVARD LAW REVIEW,0017-811X,"6,511",7.136,6.642,4.809,0.005880
2,YALE LAW JOURNAL,0044-0094,"5,529",6.586,6.300,5.355,0.006270
3,European Journal of Psychology Applied to Legal Context,1889-1861,267,4.905,4.381,3.604,0.000420
4,UNIVERSITY OF PENNSYLVANIA LAW REVIEW,0041-9907,"2,845",4.616,4.411,3.754,0.003910
5,International Data Privacy Law,2044-3994,302,4.162,3.514,Not Available,0.000680
6,COMMON MARKET LAW REVIEW,0165-0750,"1,417",3.522,2.826,3.756,0.001350
7,Regulation & Governance,1748-5983,"1,136",3.375,2.857,3.862,0.002360
8,STANFORD LAW REVIEW,0038-9765,"4,064",3.370,3.247,4.033,0.003430
9,MICHIGAN LAW REVIEW,0026-2234,"2,069",3.353,3.255,2.504,0.001950
10,GEORGETOWN LAW JOURNAL,0016-8092,"1,848",3.260,3.178,3.027,0.002920
11,UNIVERSITY OF CHICAGO LAW REVIEW,0041-9494,"2,801",3.215,3.022,2.830,0.003480
12,DUKE LAW JOURNAL,0012-7086,"1,634",3.076,2.939,2.621,0.002340
13,HARVARD ENVIRONMENTAL LAW REVIEW,0147-8257,341,3.000,3.000,1.440,0.000670
14,TEXAS LAW REVIEW,0040-4411,"1,867",2.667,2.609,2.988,0.002840
15,Transnational Environmental Law,2047-1025,240,2.641,2.154,2.205,0.000530
16,UCLA LAW REVIEW,0041-5650,"1,417",2.604,2.585,2.288,0.001650
17,VIRGINIA LAW REVIEW,0042-6601,"2,231",2.596,2.439,2.122,0.002060
18,Annual Review of Law and Social Science,1550-3585,912,2.588,2.510,2.974,0.001860
19,International Environmental Agreements-Politics Law and Economics,1567-9764,860,2.511,2.250,2.630,0.001710
20,NORTHWESTERN UNIVERSITY LAW REVIEW,0029-3571,"1,585",2.485,2.361,2.051,0.002210
21,AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,"2,231",2.482,1.847,2.015,0.001570
22,NEW YORK UNIVERSITY LAW REVIEW,0028-7881,"1,906",2.459,2.318,2.295,0.002650
23,VANDERBILT LAW REVIEW,0042-2533,"1,386",2.432,2.307,1.957,0.002350
24,BOSTON UNIVERSITY LAW REVIEW,0006-8047,"1,227",2.429,2.156,1.648,0.002400
25,Journal of Law and the Biosciences,2053-9711,330,2.275,2.196,2.568,0.001350
26,ANTITRUST LAW JOURNAL,0003-6056,547,2.259,2.185,1.882,0.000970
27,LAW AND HUMAN BEHAVIOR,0147-7307,"3,204",2.154,1.879,2.965,0.003230
28,Yale Journal on Regulation,0741-9457,498,2.103,1.966,Not Available,0.000980
29,Feminist Legal Studies,0966-3622,369,2.097,1.806,1.765,0.000370
30,ADMINISTRATIVE LAW REVIEW,0001-8368,586,2.059,1.971,1.875,0.000610
31,WASHINGTON LAW REVIEW,0043-0617,538,2.050,2.050,1.947,0.001260
32,JOURNAL OF INTERNATIONAL ECONOMIC LAW,1369-3034,600,2.000,1.848,1.604,0.001420
33,CALIFORNIA LAW REVIEW,0008-1221,"2,264",1.952,1.893,2.825,0.002820
34,Computer Law & Security Review,0267-3649,857,1.849,1.616,1.592,0.001170
35,Journal of Legal Analysis,2161-7201,240,1.727,1.727,2.098,0.000630
36,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1355-3259,793,1.667,1.444,1.607,0.000730
36,PSYCHOLOGY PUBLIC POLICY AND LAW,1076-8971,"1,476",1.667,1.526,2.560,0.002070
38,CORNELL LAW REVIEW,0010-8847,"1,323",1.661,1.644,1.877,0.001700
39,HARVARD INTERNATIONAL LAW JOURNAL,0017-8063,642,1.650,1.600,2.720,0.000760
40,JOURNAL OF ENVIRONMENTAL LAW,0952-8873,393,1.633,1.408,1.570,0.000560
41,Hague Journal on the Rule of Law,1876-4045,302,1.600,1.267,1.079,0.000230
42,SOUTHERN CALIFORNIA LAW REVIEW,0038-3910,971,1.596,1.519,1.513,0.001290
43,European Law Journal,1351-5993,"1,048",1.589,1.411,2.017,0.001200
44,MINNESOTA LAW REVIEW,0026-5535,"1,087",1.570,1.441,1.593,0.001880
45,International & Comparative Law Quarterly,0020-5893,"1,088",1.565,1.464,1.521,0.000960
46,European Constitutional Law Review,1574-0196,448,1.530,1.227,1.712,0.000700
47,MODERN LAW REVIEW,0026-7961,"1,415",1.512,1.442,1.400,0.001130
48,ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1474-2640,978,1.510,1.120,1.508,0.001310
49,World Trade Review,1474-7456,333,1.500,1.304,1.142,0.000800
50,European Journal of International Law,0938-5428,"1,814",1.475,1.384,1.940,0.001780
51,Medical Law Review,0967-0742,385,1.460,1.300,1.404,0.000630
52,International Journal of Transitional Justice,1752-7716,699,1.446,1.196,2.015,0.000840
53,LAW & SOCIETY REVIEW,0023-9216,"2,647",1.431,1.345,2.193,0.001830
54,INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,0160-2527,"1,958",1.341,1.138,1.515,0.001900
55,JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,0091-4169,"1,491",1.333,1.267,1.465,0.000580
56,Melbourne University Law Review,0025-8938,561,1.315,1.204,1.050,0.000320
57,WASHINGTON QUARTERLY,0163-660X,693,1.288,1.000,1.212,0.001130
58,Law & Policy,0265-8240,686,1.278,1.250,1.667,0.000620
59,Cambridge Law Journal,0008-1973,473,1.270,1.216,1.523,0.000370
60,Journal of Empirical Legal Studies,1740-1453,811,1.268,1.214,1.728,0.001560
61,Oxford Journal of Legal Studies,0143-6503,930,1.260,1.178,1.343,0.000820
62,GEORGE WASHINGTON LAW REVIEW,0016-8076,936,1.238,1.167,1.284,0.001470
63,NOTRE DAME LAW REVIEW,0745-3515,950,1.233,1.233,1.209,0.001730
64,SOCIAL & LEGAL STUDIES,0964-6639,759,1.224,1.134,1.329,0.000850
65,AMERICAN BUSINESS LAW JOURNAL,0002-7766,236,1.214,0.714,0.957,0.000170
66,INDIANA LAW JOURNAL,0019-6665,858,1.211,1.197,1.197,0.001330
67,Revista Espanola de Derecho Constitucional,0211-5743,405,1.209,0.970,0.922,0.000060
68,PSYCHOLOGY CRIME & LAW,1068-316X,"1,429",1.193,1.079,1.576,0.001770
69,JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,1093-6793,"1,086",1.191,0.956,1.604,0.000950
70,Supreme Court Review,0081-9557,516,1.167,1.056,1.929,0.000380
71,BEHAVIORAL SCIENCES & THE LAW,0735-3936,"1,881",1.102,1.045,1.233,0.001280
72,Journal of World Energy Law & Business,1754-9957,187,1.097,0.984,0.874,0.000460
73,JOURNAL OF LAW MEDICINE & ETHICS,1073-1105,"1,673",1.085,0.995,1.133,0.002600
74,Chinese Journal of International Law,1540-1650,271,1.075,0.925,0.952,0.000410
75,Northwestern Journal of International Law & Business,0196-3228,205,1.074,1.037,1.031,0.000250
76,Review of European Comparative & International Environmental Law,2050-0386,344,1.054,0.964,Not Available,0.000520
77,UNIVERSITY OF ILLINOIS LAW REVIEW,0276-9948,830,1.041,1.020,0.903,0.001250
78,FORDHAM LAW REVIEW,0015-704X,"1,388",1.022,0.946,0.948,0.002020
79,Leiden Journal of International Law,0922-1565,686,1.012,0.914,1.067,0.000780
80,IOWA LAW REVIEW,0021-0552,939,1.000,0.966,1.129,0.001700
