Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'MANAGEMENT' Selected Category Scheme: WoS,,,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Eigenfactor Score
1,Academy of Management Annals,1941-6520,"4,250",11.865,11.673,17.833,0.009530
2,Annual Review of Organizational Psychology and Organizational Behavior,2327-0608,"1,521",10.923,10.667,14.676,0.007440
3,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0047-2506,"15,273",9.158,6.693,9.977,0.007540
4,JOURNAL OF MANAGEMENT,0149-2063,"24,234",8.880,8.612,11.847,0.022000
5,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,1460-8545,"4,478",8.631,8.431,9.896,0.004000
6,ACADEMY OF MANAGEMENT REVIEW,0363-7425,"35,980",8.413,7.873,12.440,0.010000
7,ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,"19,233",8.391,7.804,9.880,0.008020
8,ACADEMY OF MANAGEMENT JOURNAL,0001-4273,"40,902",7.571,7.068,11.853,0.028900
9,TOURISM MANAGEMENT,0261-5177,"25,990",7.432,6.614,9.238,0.014200
10,Journal of Supply Chain Management,1523-2409,"3,078",6.842,5.842,9.802,0.002150
11,LEADERSHIP QUARTERLY,1048-9843,"10,275",6.642,5.674,7.576,0.008060
12,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,0263-7863,"9,927",6.620,5.550,6.589,0.006390
13,PERSONNEL PSYCHOLOGY,0031-5826,"8,568",6.571,6.405,9.180,0.006030
14,Strategic Entrepreneurship Journal,1932-4391,"1,938",6.200,5.844,6.128,0.002240
15,Journal of Innovation & Knowledge,2530-7614,349,6.027,5.811,5.125,0.000390
16,JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,"41,414",5.851,5.387,8.068,0.020830
17,TECHNOVATION,0166-4972,"6,562",5.729,5.305,6.925,0.003010
18,ORGANIZATIONAL RESEARCH METHODS,1094-4281,"6,877",5.705,5.557,9.289,0.006070
19,HARVARD BUSINESS REVIEW,0017-8012,"17,974",5.700,5.700,6.856,0.013550
20,International Journal of Contemporary Hospitality Management,0959-6119,"6,888",5.667,4.360,6.226,0.005080
21,Business Strategy and the Environment,0964-4733,"5,409",5.483,3.824,6.221,0.002590
22,STRATEGIC MANAGEMENT JOURNAL,0143-2095,"35,339",5.471,4.897,7.859,0.026500
23,MIS QUARTERLY,0276-7783,"19,613",5.370,5.092,9.921,0.009460
24,RESEARCH POLICY,0048-7333,"24,828",5.351,4.716,7.929,0.017260
25,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,"9,564",5.324,4.881,6.551,0.010040
26,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,0963-8687,"2,005",5.231,4.462,6.697,0.001610
27,INFORMATION & MANAGEMENT,0378-7206,"8,292",5.155,4.845,6.714,0.005770
28,Academy of Management Perspectives,1558-9080,"3,187",5.098,4.976,7.714,0.004160
29,JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,"12,953",5.026,4.858,6.842,0.010790
30,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,"7,175",5.000,4.417,7.057,0.005500
31,HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822,"2,516",4.922,4.675,5.450,0.002520
32,JOURNAL OF MANAGEMENT STUDIES,0022-2380,"12,106",4.888,4.719,7.493,0.007860
33,Journal of Intellectual Capital,1469-1930,"2,821",4.805,3.184,Not Available,0.000540
34,SMALL BUSINESS ECONOMICS,0921-898X,"8,307",4.803,4.227,5.377,0.006890
35,Journal of Knowledge Management,1367-3270,"5,271",4.745,3.667,4.890,0.002330
